id,km_training_group_id,user_id,created_at,created_by
2603,17,1674,2021-10-21 14:15:23,1250
2611,17,1680,2021-11-04 18:06:04,954
2613,17,929,2021-11-05 11:08:34,18
2637,6,1613,2022-01-07 13:24:14,18
2712,6,264,2022-07-05 13:31:19,18
2719,6,1724,2022-07-05 13:34:05,18
2721,6,1677,2022-07-05 13:34:46,18
2732,6,1733,2022-08-01 18:38:48,7
2733,6,1452,2022-08-03 18:36:51,18
2754,6,1752,2022-09-06 01:53:38,954
2770,6,8,2022-09-12 21:06:15,264
2777,6,550,2022-09-14 18:48:33,18
2843,6,1749,2023-01-16 18:39:09,18
2846,6,959,2023-02-06 18:21:28,18
2857,6,1771,2023-03-02 10:49:54,18
2858,6,1793,2023-03-02 10:50:32,18
2859,6,1807,2023-03-02 10:51:09,18
2861,6,1650,2023-03-06 18:34:33,7
2863,6,1515,2023-03-07 10:02:20,18
2864,6,1796,2023-03-07 10:02:53,18
2865,6,1800,2023-03-07 10:03:23,18
2869,6,1801,2023-03-13 17:32:16,18
2870,6,1772,2023-03-13 17:33:16,18
2875,6,1817,2023-03-21 10:10:27,18
2876,6,1750,2023-03-21 10:11:05,18
2877,6,1816,2023-03-21 10:11:30,18
2878,6,1272,2023-03-21 10:11:43,18
2881,6,1819,2023-03-27 18:37:10,18
2884,6,1376,2023-04-03 18:40:19,18
2885,6,1385,2023-04-03 18:40:44,18
2888,6,1821,2023-04-12 19:30:08,18
2889,6,1814,2023-04-17 18:38:13,18
2898,6,1805,2023-04-25 17:15:20,18
2899,6,1827,2023-04-25 17:17:55,18
2905,6,384,2023-05-08 18:31:56,7
2906,6,1214,2023-05-08 18:32:33,7
2913,6,1832,2023-05-15 18:36:56,18
2914,6,380,2023-05-22 19:58:56,7
2918,6,1836,2023-06-05 18:33:58,7
2946,1,1724,2023-08-10 13:41:36,444
2947,1,7,2023-08-10 13:41:51,444
2948,1,1771,2023-08-10 13:41:58,444
2963,1,267,2023-08-10 13:44:29,444
2971,1,1214,2023-08-10 13:45:37,444
2980,1,1686,2023-08-25 11:55:01,444
2990,1,1850,2023-09-03 10:11:47,444
3012,1,1869,2023-09-06 18:11:30,444
3024,1,1877,2023-09-13 18:07:01,18
3036,1,1886,2023-09-25 18:06:46,18
3047,1,1163,2023-10-16 18:03:39,18
3078,9,1913,2024-02-20 19:38:21,18
3081,11,1916,2024-02-27 18:16:22,18
3109,1,1936,2024-06-19 18:07:20,7
3129,11,1144,2024-09-03 17:41:31,18
3130,9,1954,2024-09-03 19:37:53,18
3131,1,264,2024-09-04 15:52:14,18
3132,10,1955,2024-09-04 15:59:49,18
3133,10,1956,2024-09-04 16:00:00,18
3134,10,1957,2024-09-04 16:00:09,18
3154,10,1976,2024-09-18 09:44:06,18
3155,10,1977,2024-09-18 09:44:17,18
3157,10,1979,2024-09-18 09:44:59,18
3158,10,1980,2024-09-18 09:45:21,18
3171,11,1700,2024-10-17 11:03:45,18
3175,1,384,2024-10-28 19:38:37,18
3178,10,1993,2024-11-07 16:41:11,18
3194,11,2005,2025-01-07 17:32:37,18
3203,11,1742,2025-02-04 17:29:26,18
3206,9,2014,2025-02-04 19:35:54,18
3213,9,2016,2025-02-07 09:37:04,18
3243,5,2043,2025-04-28 18:01:28,18
3244,10,2044,2025-04-29 16:30:34,18
3247,11,2046,2025-05-06 17:32:43,18
3249,9,2048,2025-05-13 21:08:30,18
3262,1,2007,2025-06-30 16:03:02,18
3266,1,2011,2025-06-30 16:05:03,18
3269,1,1938,2025-06-30 16:08:14,18
3271,5,2055,2025-09-01 18:19:57,18
